Tipo;Tempo Médio
;
Acompanhamento de ação judicial;24d 23h 44m 44s
Atendimento a solicitações;32d 22h 26m 22s
Atendimento de pedido de informações;17d 16h 39m 39s
Atendimento de requisições, ordens judiciais ou administrativas;62d 22h 32m 14s
Atualização do Cadastro da Malha Rodoviária Estadual;33d 13h 59m 12s
Contrato;4d 1h 14m 51s
DER: ASSESSORIA PARLAMENTAR - Demandas Parlamentares;14d 23h 54m 12s
DER: FAIXA - Autorização de ocupação da faixa de domínio;5d 19h 52m 18s
DER: PAINÉIS - Credenciamento para exploração anúncios;4d 14h 36m 25s
DER: PROTOCOLO REGIONAIS - Peticionamento SEI;10d 4h 27m 41s
DER: PROTOCOLO SEDE - Peticionamento SEI;16d 16h 41m 11s
DETRAN Fiscalização: Recurso JARI e CETRAN multa DETRAN;3h 50m 49s
Declaração de Área Confrontante com Faixa de Domínio;5d 20h 56m
Processo de Alienação de Imóvel;19d 8h 42m 34s
Processo de Autorização de Acesso e Disponibilidade de Dados;88d 20h 11m 5s
Processo de Contratação de Serviço Técnico Profissional Especializado;135d 21h 38m 5s
Processo de Contratação de Serviços Terceirizados;67d 3h 58m 41s
Processo de aquisição de imóvel;67d 20h 5m 41s
Processo de autorização de curso;174d 23h 48m 51s
Processo de autorização de ocupação da faixa de domínio.;7d 9h 53m 50s
Processo de cessão de uso de imóvel;19d 23h 1m 30s
Processo de concessão de licença-maternidade;12d 1h 38m 33s
Processo de contratação de obra pública;6d 5h 54m 6s
Processo de contratação de serviços diversos;6d 10h 12m 52s
Processo de elaboração de Portaria;4d 8h 38m 13s
Processo de elaboração de Resolução;47d 22h 14m 14s
Processo de elaboração de ato normativo;13d 18h 3m 50s
Processo de elaboração de projeto e estudo de tráfego, operação e segurança rodoviária;10d 23h 48m 14s
Processo de elaboração e execução de plano, programa ou projeto;70d 8h 9m 7s
Processo de elaboração ou atualização de manual técnico, de procedimentos ou do usuário;6d 1h 1m 9s
Processo de estudo de reequilíbrio econômico-financeiro;22d 19h 41m 40s
Processo de formalização e execução de acordo bilateral;155d 11h 38m 14s
Processo de formalização e execução de convênio de cooperação técnica;65d 7h 10m 57s
Processo de pagamento de impostos e taxas;11d 18h 35m 24s
Processo de transferência de imóvel;27d 15m 40s
Solicitação de orientação técnica;58d 12h 26m 46s
GERAL:;37d 2h 2m 54s
